name,wigosid,country code,in OSCAR,longitude,latitude,#received,#expected,default schedule,color code,description,date,center
SOTO CANO AB,0-20000-0-78721,HND,True,-87.61667,14.36667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
PUERTO CABEZAS,0-20000-0-78730,NIC,True,-83.63333,14.06667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"BENNINGTON, VT",0-20000-0-72516,USA,True,-73.24694,42.89139,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"CAPE SAN BLAS, FL.",0-20000-0-72224,USA,True,-85.36667,29.68333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"CHATHAM, MA.",0-20000-0-74494,USA,True,-69.95889,41.65694,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FORT CARSON, CO. (ARMY)",0-20000-0-72468,USA,True,-104.76667,38.7,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FORT GREELY, AK",0-20000-0-70266,USA,True,-145.7,63.96667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FORT HOOD, TX. (ARMY)",0-20000-0-72257,USA,True,-97.33333,31.1,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FORT POLK, LA. (ARMY)",0-20000-0-72239,USA,True,-93.03333,31.03333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FORT RILEY, KS. (ARMY)",0-20000-0-72455,USA,True,-96.76667,39.1,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FORT SILL, OK. (ARMY)",0-20000-0-72355,USA,True,-98.4,34.6,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FORT STEWART RESERVATION, GA",0-20000-0-74780,USA,True,-81.63333,31.9,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FT. STEWART, GA",0-20000-0-72209,USA,True,-81.56667,31.88333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FT.KNOX, KY. (ARMY)",0-20000-0-72424,USA,True,-85.96667,37.9,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"JEFFERSON PROVING GROUND MADISON, IN.",0-20000-0-74468,USA,True,-85.41667,38.83333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"MERCURY/DESERT ROCK, NV.",0-20000-0-72387,USA,True,-116.01667,36.61667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"OGDEN, UT",0-20000-0-72575,USA,True,-112.01139,41.19611,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"PINE SPRINGS, TX",0-20001-0-72262,USA,True,-104.80861,31.83167,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"POPE AFB, NC.",0-20000-0-72303,USA,True,-79.03333,35.16667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"SALTON SEA, CA. (AFS)",0-20000-0-74718,USA,True,-115.86667,33.21667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"SAN NICOLAS IS./NF,  CA.",0-20000-0-72291,USA,True,-119.45,33.25,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"VALPARAISO/EGLIN AFB, FL.",0-20000-0-72221,USA,True,-86.51667,30.48333,1,62,True,red,Availability issue (< 30%),2026-07-01 00:00:00+00:00,DWD
White Sands Main Post,0-20000-0-72269,USA,True,-106.4724,32.3747,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
GUAYAQUIL AEROPUERTO,0-20000-0-84203,ECU,True,-79.88389,-2.15806,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
LA CANADA,0-20000-0-80476,VEN,True,-71.65,10.51667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
PENRHYN,0-20000-0-91801,COK,True,-158.05,-9.03333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
OLEKMINSK (24944-1),0-20001-0-24944,RUS,True,120.41667,60.36667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"FT. PROVIDENCE, NWT",0-20000-0-71086,CAN,True,-117.25,61.66667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"GAGETOWN A, NB",0-20001-0-71701,CAN,True,-66.43333,45.83333,4,62,True,red,Availability issue (< 30%),2026-07-01 00:00:00+00:00,ECMWF
"SHILO, MAN",0-20000-0-71853,CAN,True,-99.64306,49.78278,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
SAO LUIS (AERO),0-20000-0-82281,BRA,True,-44.23333,-2.6,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
GAROUA RS,0-120-1-64860,CMR,True,13.3667,9.3333,0,93,False,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
ALTENSTADT (AEROLOGY),0-20001-0-10954,DEU,True,10.87376,47.8331,118,0,False,purple,More than declared in OSCAR/Surface,2026-07-01 00:00:00+00:00,ECMWF
HOHENPEIßENBERG (AEROLOGY),0-20001-0-10962,DEU,True,11.01157,47.80103,9,62,False,red,Availability issue (< 30%),2026-07-01 00:00:00+00:00,ECMWF
MEPPEN (AEROLOGY),0-20001-0-10304,DEU,True,7.31886,52.715,70,23,False,purple,More than declared in OSCAR/Surface,2026-07-01 00:00:00+00:00,ECMWF
GREIFSWALD (AEROLOGY),0-20001-0-10184,DEU,True,13.40484,54.09696,63,62,False,purple,More than declared in OSCAR/Surface,2026-07-01 00:00:00+00:00,ECMWF
MEININGEN (AEROLOGY),0-20001-0-10548,DEU,True,10.37715,50.56174,64,62,False,purple,More than declared in OSCAR/Surface,2026-07-01 00:00:00+00:00,ECMWF
