name,wigosid,country code,in OSCAR,longitude,latitude,rms,variable,date,center,marine_type
Unknown,22107,,False,126.0333023071289,33.08330154418945,0.229081,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22186,,False,125.81390380859375,35.658599853515625,0.24727,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22187,,False,127.02279663085938,33.12810134887695,0.240784,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22301,,False,126.4000015258789,31.670000076293945,0.618272,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22308,,False,125.1500015258789,35.279998779296875,0.233522,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22191,,False,124.05693817138672,36.133331298828125,0.249519,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22192,,False,123.26249694824219,34.0,0.389302,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22299,,False,124.12999725341797,35.0,0.381597,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22104,,False,128.89999389648438,34.766700744628906,0.282685,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22108,,False,125.75,36.25,0.362295,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22190,,False,129.87440490722656,36.906898498535156,0.303989,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22302,,False,130.52000427246094,36.970001220703125,0.314348,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22305,,False,129.60000610351562,38.369998931884766,0.269141,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22309,,False,128.3800048828125,33.779998779296875,0.462577,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22311,,False,129.32000732421875,37.459999084472656,0.305663,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,22188,,False,128.22500610351562,34.391700744628906,0.319428,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,1301821,,False,-12.59939956665039,-11.799599647521973,0.263522,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6200084,,False,-9.429300308227539,42.117698669433594,0.22923,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6200085,,False,-6.962900161743164,36.48970031738281,0.179039,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4803996,,False,85.99980163574219,-1.1735999584197998,0.226948,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4200023,,False,-83.08611297607422,26.010000228881836,0.189817,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,1801669,,False,75.0093994140625,-36.04059982299805,0.263673,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,7810110,,False,-117.306396484375,33.20439910888672,0.21869,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,7810111,,False,-117.306396484375,33.2046012878418,0.216524,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,7810112,,False,-117.306396484375,33.20439910888672,0.253929,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,7810114,,False,-117.306396484375,33.2046012878418,0.266736,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,7810115,,False,-117.306396484375,33.2046012878418,0.259331,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,2501558,,False,-175.02232360839844,75.4449462890625,0.318361,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,5802095,,False,-18.752399444580078,62.364601135253906,0.199481,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,7810263,,False,-117.30619812011719,33.20439910888672,1.213468,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,7810264,,False,-117.30619812011719,33.20439910888672,0.363707,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
